id	name	latitude	longitude	streetAddress	addressLocality	addressRegion	postalCode	AddressCountry	facility	type
bath-magistrates-court	Bath Magistrates' Court	51.3811433659559	-2.352059077198345						Baby changing facility,Guide dogs,Parking,Video facilities,Refreshments,Disabled access,Loop Hearing,Interview room	Magistrates Court
leeds-employment-tribunal	Leeds Employment Tribunal	53.796828278433309833417297340929508209	-1.545355841064054880362732546927873045						Disabled access,Public toilets,Disabled toilet,First Aid,Guide dogs,Loop Hearing,Prayer / Quiet room,Interview room,Waiting Room	Tribunal
reading-crown-court	Reading Crown Court	51.45602442421904	-0.9668013792361519						Guide dogs,Interview room,Wireless network connection,Refreshments,Disabled access,Loop Hearing,Video facilities	Crown Court
mayor-s-and-city-of-london-court	Mayor's and City of London Court	51.51529145343864	-0.09134008447661877						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Refreshments,Disabled access	
mid-and-south-east-northumberland-magistrates-court	Mid and South East Northumberland Magistrates' Court	55.13238541326667	-1.594101250731474						Loop Hearing,Baby changing facility,Guide dogs,Video facilities,Disabled access,Interview room,Parking	Magistrates Court
central-london-county-court	Central London County Court	51.5141431141754	-0.1137417030619409						Baby changing facility,Interview room,Loop Hearing,Refreshments,Disabled access,Guide dogs	County Court
chester-le-street-magistrates-court	Chester-le-Street Magistrates' Court	54.86138716492447	-1.57302151124027							Magistrates Court
gateshead-magistrates-court-and-family-court	Gateshead Magistrates' Court and Family Court	54.95902830652008	-1.600237509957054						Guide dogs,Interview room,Parking,Refreshments,Disabled access,Video facilities	Family court,Magistrates Court
gloucester-and-cheltenham-county-court-and-family-court	Gloucester and Cheltenham County Court and Family Court	51.86340338190962	-2.249396733867491						Baby changing facility,Guide dogs,Interview room,Parking,Refreshments,Disabled access	County Court,Family court
newport-gwent-civil-and-family-court	Newport (Gwent) County Court and Family Court	51.59101422862023	-2.992508816144505						Baby changing facility,Guide dogs,Loop Hearing,Video facilities,Prayer / Quiet room,Refreshments,Disabled access,Interview room,Public toilets,Waiting Room,Wireless network connection	County Court
